paramCombinations_1,paramCombinations_2,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
0,3,1792,0.000348397355992347,3175.59326171875,5226.20166015625,6.05998866376467e-06,0.424511671066284,5621.3974609375,0.3587197,0
0,5,775,0.00037605274701491,3205.208984375,5234.314453125,8.98279449756956e-06,2.41420006752014,4932.4091796875,0.0492253,0
0,7,431,0.000379954959498718,2962.91796875,5249.37109375,0.000132617933559231,13.1051044464111,5736.68212890625,0.0302912,0
0,9,298,0.000356382806785405,3011.8310546875,5263.11376953125,8.83050379343331e-05,24.0385837554932,6385.34228515625,0.0202015,0
0.0526315789473684,3,181,0.00234187580645084,2830.88916015625,2384.08325195313,0.00257754023186862,19.6053123474121,309.802673339844,0.1393639,0
0.0526315789473684,5,165,0.00142216158565134,2586.72534179688,2325.22631835938,0.00199907552450895,37.3679161071777,403.480010986328,0.0104019,0
0.0526315789473684,7,155,0.000939923629630357,2257.77709960938,2520.2783203125,0.00155958905816078,74.2710876464844,351.361663818359,0.0100543,0
0.0526315789473684,9,132,0.000745989149436355,2248.1826171875,2504.8486328125,0.00121673964895308,121.580154418945,305.162933349609,0.011626,0
0.105263157894737,3,81,0.00374702014960349,2887.95434570313,2435.54931640625,0.00336205586791039,63.6036643981934,479.925109863281,0.0124757,0
0.105263157894737,5,84,0.00216546887531877,2835.50610351563,2533.52270507813,0.00268721091561019,86.2559204101563,429.8515625,0.009521,0
0.105263157894737,7,98,0.00129353918600827,2631.90234375,2349.94580078125,0.00183171278331429,135.833038330078,425.960876464844,0.0092271,0
0.105263157894737,9,88,0.00100550160277635,2488.9921875,2269.63354492188,0.00131846347358078,225.825424194336,534.670959472656,0.0096915,0
0.157894736842105,3,48,0.00480987271293998,2988.3330078125,2673.98608398438,0.00527931610122323,397.958770751953,344.443511962891,0.0095927,0
0.157894736842105,5,57,0.00268640648573637,3017.15380859375,2550.47631835938,0.00301756826229393,221.311401367188,425.453338623047,0.0094619,0
0.157894736842105,7,62,0.00170644570607692,2939.275390625,2383.10986328125,0.00187310506589711,181.863479614258,400.566192626953,0.0097183,0
0.157894736842105,9,67,0.00120173639152199,2724.36303710938,2389.93212890625,0.00149998092092574,356.666198730469,557.420104980469,0.0108653,0
0.210526315789474,3,36,0.00543394032865763,3093.05322265625,2713.8076171875,0.00594150274991989,884.288452148438,2109.82470703125,0.0091432,0
0.210526315789474,5,38,0.00324134016409516,3207.03833007813,2692.2744140625,0.00349095719866455,868.820617675781,2223.5625,0.0092446,0
0.210526315789474,7,51,0.00190144078806043,2969.5966796875,2574.2197265625,0.00217987177893519,473.891357421875,858.157470703125,0.0098324,0
0.210526315789474,9,50,0.00142252119258046,2743.833984375,2701.05419921875,0.00167319888714701,712.498168945313,1612.00073242188,0.00944,0
0.263157894736842,3,21,0.00662961741909385,2453.24951171875,2982.015625,0.00672571361064911,2264.0205078125,2929.1826171875,0.0103686,0
0.263157894736842,5,32,0.00347061548382044,3022.53759765625,3168.6064453125,0.00383341056294739,1434.67333984375,3197.72436523438,0.0091964,0
0.263157894736842,7,40,0.00214214553125203,2660.28173828125,2468.48510742188,0.00232118647545576,773.950866699219,1743.76135253906,0.0094648,0
0.263157894736842,9,38,0.00165015063248575,2835.21801757813,2652.44360351563,0.00180378253571689,1009.17010498047,2249.60302734375,0.0092043,0
0.315789473684211,3,14,0.00756903737783432,1713.08410644531,3026.27783203125,0,0,0,0.0094445,0
0.315789473684211,5,21,0.00400561606511474,2495.20434570313,3113.13427734375,0.00406857905909419,2243.52807617188,2988.3310546875,0.0095213,0
0.315789473684211,7,30,0.00242367782630026,3108.7041015625,2603.08520507813,0.00245330552570522,981.107727050781,1998.05346679688,0.009406,0
0.315789473684211,9,35,0.00172105699311942,2730.2421875,2605.353515625,0.00180378253571689,1009.17010498047,2249.60302734375,0.0096908,0
0.368421052631579,3,9,0.00856365170329809,1537.03881835938,3961.35693359375,0,0,0,0.0098543,0
0.368421052631579,5,15,0.0044827158562839,1965.87048339844,3166.09106445313,0,0,0,0.0091014,0
0.368421052631579,7,25,0.00259943748824298,3211.7734375,2700.94775390625,0.00264269742183387,1979.9716796875,2651.06616210938,0.0473028,0
0.368421052631579,9,30,0.00183542689774185,2899.49291992188,2787.25439453125,0.00188461842481047,1127.52758789063,2453.96508789063,0.0132391,0
0.421052631578947,3,5,0.0100648626685143,1394.15295410156,4307.36083984375,0,0,0,0.0097051,0
0.421052631578947,5,13,0.00467829592525959,1889.02331542969,3457.15502929688,0,0,0,0.0094507,0
0.421052631578947,7,18,0.00291882478632033,2831.08984375,2462.76611328125,0,0,0,0.0103632,0
0.421052631578947,9,22,0.00206946325488389,3197.02197265625,2737.65844726563,0.00211191363632679,2570.62109375,2715.01220703125,0.0094651,0
0.473684210526316,3,3,0.0114936120808125,2455.58422851563,2734.45581054688,0,0,0,0.0104864,0
0.473684210526316,5,10,0.004949985537678,1638.58984375,4065.48876953125,0,0,0,0.0132513,0
0.473684210526316,7,15,0.00309178302995861,3043.22729492188,2582.62670898438,0,0,0,0.0098525,0
0.473684210526316,9,19,0.00217784428969026,2958.1875,2328.11328125,0,0,0,0.0093964,0
0.526315789473684,3,2,0.0132318511605263,4589.4033203125,5391.4794921875,0,0,0,0.0102015,0
0.526315789473684,5,7,0.00525513757020235,1817.83459472656,3630.95776367188,0,0,0,0.0096078,0
0.526315789473684,7,14,0.0031538053881377,2943.43139648438,2703.00219726563,0,0,0,0.0094602,0
