paramCombinations_1,paramCombinations_2,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
0,0.001,3671,19.5968399047852,2984.43334960938,4536.67431640625,8.14999961853027,2203.052734375,0,0.1175279,0
0,0.0344827586206897,2623,25.4369049072266,2609.50756835938,3722.125,17.0499992370605,2493.67114257813,2.19999980926514,0.0110519,0
0,0.0689655172413793,1559,34.2463111877441,2383.01293945313,3067.189453125,36.7000007629395,385.734222412109,7.83947420120239,0.014209,0
0,0.103448275862069,989,41.7118301391602,2383.0302734375,2909.85522460938,43.25,631.460510253906,9.52368545532227,0.0062961,0
0,0.137931034482759,562,50.8309593200684,2499.95166015625,2708.564453125,52.7000007629395,712.368408203125,12.1157903671265,0.0277939,0
0,0.172413793103448,327,59.5474014282227,2606.16137695313,2590.08349609375,57.4500007629395,741.60791015625,6.27368497848511,0.0045297,0
0,0.206896551724138,178,69.4887619018555,3000.29809570313,2563.01171875,69.9499969482422,272.252624511719,39.4842071533203,0.0021546,0
0,0.241379310344828,97,80.0927810668945,2971.09838867188,2250.62719726563,81.1500015258789,290.471069335938,86.5263137817383,0.0024152,0
0,0.275862068965517,70,85.5999984741211,2758.37451171875,2417.02465820313,86.0999984741211,655.831604003906,109.144737243652,0.0063315,0
0,0.310344827586207,44,92.75,2724.53857421875,2581.69116210938,94.25,1785.20764160156,564.155212402344,0.0012883,0
0,0.344827586206897,26,100,2771.13818359375,2872.73876953125,100.900001525879,2697.30541992188,1382.15783691406,0.0010627,0
0,0.379310344827586,15,105.266670227051,2777.71435546875,2915.60009765625,0,0,0,0.0009558,0
0,0.413793103448276,5,113.599998474121,3134,2317.19995117188,0,0,0,0.0009423,0
0,0.448275862068966,1,124,5512.5,5512.5,0,0,0,0.0106039,0
0,0.482758620689655,1,124,5512.5,5512.5,0,0,0,0.0011465,0
0,0.517241379310345,0,NaN,NaN,NaN,0,0,0,0.0097435,0
0,0.551724137931034,0,NaN,NaN,NaN,0,0,0,0.001202,0
0,0.586206896551724,0,NaN,NaN,NaN,0,0,0,0.0010692,0
0,0.620689655172414,0,NaN,NaN,NaN,0,0,0,0.0009965,0
0,0.655172413793103,0,NaN,NaN,NaN,0,0,0,0.0015361,0
0,0.689655172413793,0,NaN,NaN,NaN,0,0,0,0.0009865,0
0,0.724137931034483,0,NaN,NaN,NaN,0,0,0,0.0009333,0
0,0.758620689655172,0,NaN,NaN,NaN,0,0,0,0.0009102,0
0,0.793103448275862,0,NaN,NaN,NaN,0,0,0,0.0009669,0
