paramCombinations_1,paramCombinations_2,paramCombinations_3,paramCombinations_4,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
0,1,1,1,0,NaN,NaN,NaN,0,0,0,0.051920262,0
0,1,1,1.11111111111111,0,NaN,NaN,NaN,0,0,0,0.015557556,0
0,1,1,1.22222222222222,0,NaN,NaN,NaN,0,0,0,0.01397028,0
0,1,1,1.33333333333333,0,NaN,NaN,NaN,0,0,0,0.012537191,0
0,1,1,1.44444444444444,0,NaN,NaN,NaN,0,0,0,0.035170941,0
0,1,1,1.55555555555556,0,NaN,NaN,NaN,0,0,0,0.010654503,0
0,1,1,1.66666666666667,0,NaN,NaN,NaN,0,0,0,0.009926531,0
0,1,1,1.77777777777778,0,NaN,NaN,NaN,0,0,0,0.01096347,0
0,1,1,1.88888888888889,0,NaN,NaN,NaN,0,0,0,0.011693946,0
0,1,1,2,0,NaN,NaN,NaN,0,0,0,0.011545198,0
0,1,2,1,0,NaN,NaN,NaN,0,0,0,0.007044151,0
0,1,2,1.11111111111111,0,NaN,NaN,NaN,0,0,0,0.007332148,0
0,1,2,1.22222222222222,0,NaN,NaN,NaN,0,0,0,0.007072571,0
0,1,2,1.33333333333333,0,NaN,NaN,NaN,0,0,0,0.007301155,0
0,1,2,1.44444444444444,0,NaN,NaN,NaN,0,0,0,0.007350493,0
0,1,2,1.55555555555556,0,NaN,NaN,NaN,0,0,0,0.007536436,0
0,1,2,1.66666666666667,0,NaN,NaN,NaN,0,0,0,0.009230832,0
0,1,2,1.77777777777778,0,NaN,NaN,NaN,0,0,0,0.00800592,0
0,1,2,1.88888888888889,0,NaN,NaN,NaN,0,0,0,0.010452046,0
0,1,2,2,0,NaN,NaN,NaN,0,0,0,0.008542165,0
0,1,3,1,0,NaN,NaN,NaN,0,0,0,0.007192136,0
0,1,3,1.11111111111111,0,NaN,NaN,NaN,0,0,0,0.007688353,0
0,1,3,1.22222222222222,0,NaN,NaN,NaN,0,0,0,0.007645015,0
0,1,3,1.33333333333333,0,NaN,NaN,NaN,0,0,0,0.007872053,0
0,1,3,1.44444444444444,0,NaN,NaN,NaN,0,0,0,0.008743796,0
